         98386191 function calls (98300654 primitive calls) in 49.339 seconds

   Ordered by: cumulative time
   List reduced from 1409 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   List reduced from 1409 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    62148    5.548    0.000   14.612    0.000 rebuild/review/build.py:189(config_badge)
    62180    4.830    0.000    4.830    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:351(raw_decode)
    62148    4.429    0.000    9.262    0.000 rebuild/review/build.py:1499(check_unit)
 14808875    3.345    0.000    6.632    0.000 rebuild/review/build.py:209(<genexpr>)
  9703425    2.718    0.000    3.700    0.000 rebuild/review/build.py:154(_config_features)
    62198    2.286    0.000    2.286    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/encoder.py:207(iterencode)
      136    2.193    0.016    2.193    0.016 {method 'compress' of 'zlib.Compress' objects}
    62148    1.978    0.000    1.978    0.000 rebuild/review/build.py:871(_seam_home_record)
  8720130    1.826    0.000    1.826    0.000 {method 'get' of 'dict' objects}
  9833647    1.423    0.000    1.423    0.000 {method 'split' of 'str' objects}
    62148    1.408    0.000    1.778    0.000 rebuild/review/build.py:854(_cached_seam_home)
  1356496    1.134    0.000    1.134    0.000 rebuild/review/build.py:161(_candidate_constraint_sets)
        1    0.946    0.946    1.510    1.510 rebuild/review/audit.py:76(load_audit)
  6326977    0.724    0.000    0.724    0.000 {method 'items' of 'dict' objects}
        1    0.655    0.655    2.407    2.407 rebuild/review/audit.py:164(build_units)
        1    0.612    0.612   49.787   49.787 rebuild/review/build.py:883(build_m1)
  7433887    0.606    0.000    0.608    0.000 {built-in method builtins.isinstance}
2233874/2233601    0.521    0.000    0.726    0.000 {method 'join' of 'str' objects}
   152730    0.493    0.000    1.325    0.000 rebuild/review/unit_cache.py:255(signature_key)
   497794    0.490    0.000    0.990    0.000 rebuild/review/audit.py:68(parse_codepoints)
  5018532    0.428    0.000    0.428    0.000 rebuild/review/build.py:1503(need)
  2463962    0.401    0.000    0.401    0.000 rebuild/review/audit.py:69(<genexpr>)
  4039620    0.369    0.000    0.369    0.000 rebuild/review/build.py:1527(<genexpr>)
    62148    0.343    0.000    0.880    0.000 rebuild/review/unit_cache.py:235(key)
    63442    0.286    0.000    0.444    0.000 rebuild/review/audit.py:156(render_groups_for_rows)
   954812    0.281    0.000    0.281    0.000 {method 'setdefault' of 'dict' objects}
    11714    0.279    0.000    0.309    0.000 rebuild/review/build.py:1716(need_rect)
    11484    0.272    0.000    0.274    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:292(readArray)
   152730    0.235    0.000    0.731    0.000 rebuild/review/build.py:919(ink_sig)
        1    0.216    0.216    1.931    1.931 rebuild/review/build.py:530(_resolve_signature_digests)
1993914/1992720    0.201    0.000    0.201    0.000 {built-in method builtins.len}
  1226690    0.193    0.000    0.193    0.000 rebuild/review/build.py:1623(<genexpr>)
  1445661    0.192    0.000    0.192    0.000 {method 'append' of 'list' objects}
    82852    0.192    0.000    0.354    0.000 rebuild/review/build.py:1490(_is_delta_digest)
   354881    0.183    0.000    0.444    0.000 {built-in method builtins.sorted}
        1    0.176    0.176    1.106    1.106 rebuild/review/audit.py:234(merge_ink_duplicate_units)
    62148    0.169    0.000   14.993    0.000 rebuild/review/build.py:323(patch_cached_fragment)
        1    0.169    0.169    9.533    9.533 rebuild/review/build.py:1806(check_shards)
   756542    0.161    0.000    0.215    0.000 rebuild/review/build.py:920(<genexpr>)
   497184    0.150    0.000    0.240    0.000 rebuild/review/build.py:1708(<genexpr>)
    62148    0.149    0.000   14.819    0.000 rebuild/review/build.py:297(unit_scaffold)
   756542    0.142    0.000    0.142    0.000 rebuild/review/audit.py:73(<genexpr>)
    62148    0.142    0.000    0.142    0.000 <string>:2(__init__)
  1077076    0.142    0.000    0.142    0.000 rebuild/review/build.py:1495(<genexpr>)
     8772    0.136    0.000    0.136    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
        1    0.135    0.135    1.395    1.395 rebuild/review/unit_cache.py:370(write_signature_store)
   215316    0.133    0.000    0.133    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
   362937    0.127    0.000    0.175    0.000 rebuild/review/build.py:1484(_is_seam)
   306022    0.121    0.000    0.173    0.000 rebuild/review/audit.py:149(_config_index)
   215316    0.113    0.000    0.113    0.000 {built-in method _hashlib.openssl_sha256}


