         4544151 function calls (4454191 primitive calls) in 1.188 seconds

   Ordered by: cumulative time
   List reduced from 1110 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    0.017    0.000    0.017    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/encoder.py:207(iterencode)
   204701    0.015    0.000    0.015    0.000 {method 'split' of 'str' objects}
7499/3084    0.014    0.000    0.281    0.000 rebuild/pipeline/spec_load.py:206(_check_object)
    32215    0.013    0.000    0.013    0.000 rebuild/review/build.py:161(_candidate_constraint_sets)
    26480    0.013    0.000    0.020    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:133(need_events)
   171468    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
21290/1458    0.012    0.000    0.046    0.000 .venv/lib/python3.14/site-packages/yaml/representer.py:33(represent_data)
   180068    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
   138268    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
     9209    0.011    0.000    0.065    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:437(check_simple_key)
5873/1458    0.011    0.000    0.043    0.000 .venv/lib/python3.14/site-packages/yaml/representer.py:103(represent_mapping)
    35810    0.010    0.000    0.013    0.000 .venv/lib/python3.14/site-packages/yaml/resolver.py:143(resolve)
    30035    0.009    0.000    0.013    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:800(write_indicator)
    46039    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
21290/1458    0.008    0.000    0.010    0.000 .venv/lib/python3.14/site-packages/yaml/serializer.py:60(anchor_node)
     1500    0.008    0.000    1.192    0.001 rebuild/review/build.py:343(unit_to_json)
    14003    0.008    0.000    0.076    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:266(expect_scalar)
     1500    0.007    0.000    0.024    0.000 rebuild/validation/pins.py:139(_check_interpretation)
     4500    0.007    0.000    0.018    0.000 rebuild/review/drafts.py:133(expect_string)
    73044    0.006    0.000    0.006    0.000 {method 'write' of '_io.StringIO' objects}
     1500    0.006    0.000    0.013    0.000 test/test_shaping.py:664(_token_char_spans)
    21290    0.006    0.000    0.054    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:469(process_tag)
     1500    0.006    0.000    0.082    0.000 rebuild/review/drafts.py:262(validate_semantics)
    78738    0.006    0.000    0.006    0.000 {method 'pop' of 'list' objects}
     9209    0.006    0.000    0.048    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:333(expect_flow_mapping_key)
     1500    0.005    0.000    0.181    0.000 rebuild/review/drafts.py:238(draft_pin)
    65645    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
       75    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        9    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
    21290    0.005    0.000    0.008    0.000 .venv/lib/python3.14/site-packages/yaml/representer.py:136(ignore_aliases)


