         1314353 function calls (1288588 primitive calls) in 0.305 seconds

   Ordered by: cumulative time
   List reduced from 1110 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400    0.000    0.000    0.306    0.001 rebuild/review/build.py:503(_phase2_unit)
      400    0.002    0.000    0.306    0.001 rebuild/review/build.py:343(unit_to_json)
      400    0.001    0.000    0.152    0.000 rebuild/review/drafts.py:288(draft_policy)
      390    0.000    0.000    0.130    0.000 .venv/lib/python3.14/site-packages/yaml/__init__.py:263(safe_dump)
      390    0.001    0.000    0.130    0.000 .venv/lib/python3.14/site-packages/yaml/__init__.py:215(dump_all)
      390    0.000    0.000    0.125    0.000 .venv/lib/python3.14/site-packages/yaml/representer.py:26(represent)
      390    0.001    0.000    0.112    0.000 .venv/lib/python3.14/site-packages/yaml/serializer.py:46(serialize)
 5764/390    0.010    0.000    0.107    0.000 .venv/lib/python3.14/site-packages/yaml/serializer.py:78(serialize_node)
     9293    0.007    0.000    0.095    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:111(emit)
      400    0.002    0.000    0.088    0.000 rebuild/review/drafts.py:238(draft_pin)
      800    0.000    0.000    0.053    0.000 rebuild/review/drafts.py:43(_import_test_shaping)
     89/1    0.000    0.000    0.052    0.052 <frozen importlib._bootstrap>:1360(_find_and_load)
     89/1    0.000    0.000    0.052    0.052 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     84/1    0.000    0.000    0.052    0.052 <frozen importlib._bootstrap>:914(_load_unlocked)
     75/1    0.000    0.000    0.052    0.052 <frozen importlib._bootstrap_external>:753(exec_module)
    210/2    0.000    0.000    0.051    0.026 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     89/1    0.004    0.000    0.051    0.051 {built-in method builtins.exec}
        1    0.000    0.000    0.051    0.051 test/test_shaping.py:1(<module>)
      400    0.001    0.000    0.050    0.000 rebuild/review/build.py:297(unit_scaffold)
      400    0.019    0.000    0.049    0.000 rebuild/review/build.py:189(config_badge)
     5764    0.005    0.000    0.045    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:232(expect_node)
        1    0.000    0.000    0.034    0.034 tools/build_font.py:1(<module>)
     2495    0.001    0.000    0.031    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:354(expect_flow_mapping_simple_value)
      400    0.001    0.000    0.023    0.000 rebuild/review/drafts.py:262(validate_semantics)
     1585    0.001    0.000    0.022    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:316(expect_first_flow_mapping_key)
    92836    0.010    0.000    0.021    0.000 rebuild/review/build.py:209(<genexpr>)
     3795    0.002    0.000    0.021    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:266(expect_scalar)
     3795    0.014    0.000    0.019    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:626(analyze_scalar)
     2495    0.003    0.000    0.018    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:437(check_simple_key)
        1    0.000    0.000    0.018    0.018 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:1(<module>)
     3795    0.001    0.000    0.017    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:515(process_scalar)
        1    0.000    0.000    0.017    0.017 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:1(<module>)
      390    0.000    0.000    0.017    0.000 rebuild/pipeline/spec_load.py:129(check)
 4579/390    0.006    0.000    0.017    0.000 rebuild/pipeline/spec_load.py:160(_check)
     33/4    0.000    0.000    0.016    0.004 {built-in method builtins.__import__}
        1    0.000    0.000    0.016    0.016 test/test_shaping.py:65(_build_char_to_glyph_name)
        1    0.000    0.000    0.016    0.016 .venv/lib/python3.14/site-packages/fontTools/feaLib/variableScalar.py:1(<module>)
        1    0.000    0.000    0.016    0.016 .venv/lib/python3.14/site-packages/yaml/__init__.py:117(safe_load)
        1    0.000    0.000    0.016    0.016 .venv/lib/python3.14/site-packages/yaml/__init__.py:74(load)
        1    0.000    0.000    0.016    0.016 .venv/lib/python3.14/site-packages/yaml/constructor.py:47(get_single_data)
        1    0.000    0.000    0.016    0.016 .venv/lib/python3.14/site-packages/fontTools/varLib/__init__.py:1(<module>)
     5764    0.002    0.000    0.015    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:469(process_tag)
        1    0.000    0.000    0.015    0.015 .venv/lib/python3.14/site-packages/yaml/composer.py:29(get_single_node)
        1    0.000    0.000    0.015    0.015 .venv/lib/python3.14/site-packages/yaml/composer.py:50(compose_document)
    517/1    0.000    0.000    0.015    0.015 .venv/lib/python3.14/site-packages/yaml/composer.py:63(compose_node)


         1314353 function calls (1288588 primitive calls) in 0.305 seconds

   Ordered by: internal time
   List reduced from 1110 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400    0.019    0.000    0.049    0.000 rebuild/review/build.py:189(config_badge)
     3795    0.014    0.000    0.019    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:626(analyze_scalar)
276069/275897    0.011    0.000    0.011    0.000 {built-in method builtins.len}
   182869    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
    92836    0.010    0.000    0.021    0.000 rebuild/review/build.py:209(<genexpr>)
 5764/390    0.010    0.000    0.107    0.000 .venv/lib/python3.14/site-packages/yaml/serializer.py:78(serialize_node)
    60924    0.010    0.000    0.013    0.000 rebuild/review/build.py:154(_config_features)
      800    0.008    0.000    0.014    0.000 test/test_shaping.py:113(parse_expect)
     9293    0.007    0.000    0.095    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:111(emit)
 4579/390    0.006    0.000    0.017    0.000 rebuild/pipeline/spec_load.py:160(_check)
      390    0.006    0.000    0.009    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:854(write_single_quoted)
        9    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
       75    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
     5764    0.005    0.000    0.045    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:232(expect_node)
    18586    0.005    0.000    0.013    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:120(need_more_events)
     3405    0.005    0.000    0.007    0.000 .venv/lib/python3.14/site-packages/yaml/emitter.py:1080(write_plain)
