         14082793 function calls (13995062 primitive calls) in 2.955 seconds

   Ordered by: cumulative time
   List reduced from 280 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    0.013    0.000    3.055    0.002 rebuild/review/build.py:473(_phase1_unit)
     8449    0.062    0.000    1.704    0.000 rebuild/review/build.py:475(<genexpr>)
     6949    0.068    0.000    1.642    0.000 rebuild/review/ink.py:176(config_diff)
    13898    0.023    0.000    1.284    0.000 rebuild/review/ink.py:163(run_ink)
    61666    0.181    0.000    1.209    0.000 rebuild/review/ink.py:87(translate_outline)
     1500    0.033    0.000    1.097    0.001 rebuild/review/enrich.py:337(enrich)
    57417    0.017    0.000    1.071    0.000 rebuild/review/ink.py:108(placed)
  3235051    0.767    0.000    1.028    0.000 rebuild/review/ink.py:88(<genexpr>)
     1500    0.005    0.000    0.745    0.000 rebuild/pipeline/explain.py:91(explain)
     1500    0.010    0.000    0.733    0.000 rebuild/pipeline/settle.py:1538(settle_traces)
12338/5167    0.006    0.000    0.682    0.000 rebuild/pipeline/settle.py:1120(transition_trace)
12338/5167    0.072    0.000    0.680    0.000 rebuild/pipeline/settle.py:1178(_transition_trace_uncached)
49950/19448    0.012    0.000    0.423    0.000 rebuild/pipeline/settle.py:682(_prospect)
24975/9724    0.008    0.000    0.420    0.000 rebuild/pipeline/settle.py:1289(_score)
37167/28136    0.114    0.000    0.332    0.000 rebuild/pipeline/settle.py:525(candidates)
  5712093    0.261    0.000    0.261    0.000 rebuild/review/ink.py:89(<genexpr>)
    17656    0.015    0.000    0.250    0.000 rebuild/review/ink.py:65(shape)
    44967    0.015    0.000    0.237    0.000 {built-in method builtins.sorted}
    14032    0.193    0.000    0.225    0.000 rebuild/validation/shaping.py:36(shape)
    15280    0.021    0.000    0.204    0.000 rebuild/pipeline/settle.py:834(_apply_prefers)
    39236    0.017    0.000    0.178    0.000 rebuild/pipeline/settle.py:754(_prefer_favors)
     1500    0.007    0.000    0.152    0.000 rebuild/review/enrich.py:555(_ink_visible_positions)
     3481    0.147    0.000    0.147    0.000 {built-in method builtins.repr}
     4628    0.018    0.000    0.145    0.000 rebuild/review/enrich.py:534(_segment_pieces)
    27796    0.012    0.000    0.136    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/collections/__init__.py:602(__init__)
    27796    0.005    0.000    0.124    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/collections/__init__.py:679(update)
     3338    0.001    0.000    0.123    0.000 rebuild/review/ink.py:218(normalize)
     7995    0.016    0.000    0.121    0.000 rebuild/review/ink.py:220(<genexpr>)
    13898    0.006    0.000    0.111    0.000 {built-in method _collections._count_elements}
   270022    0.082    0.000    0.105    0.000 rebuild/review/ink.py:221(<genexpr>)
27011/24626    0.015    0.000    0.100    0.000 rebuild/pipeline/settle.py:652(_acceptor_exists)
     9262    0.002    0.000    0.094    0.000 rebuild/review/enrich.py:553(<genexpr>)
     1981    0.002    0.000    0.078    0.000 rebuild/review/ink.py:48(delta_digest)
      714    0.004    0.000    0.070    0.000 rebuild/review/ink.py:260(approves)
    62051    0.008    0.000    0.069    0.000 rebuild/review/ink.py:101(outline)
    12338    0.029    0.000    0.066    0.000 rebuild/pipeline/settle.py:1303(_commit)
      372    0.000    0.000    0.058    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttGlyphSet.py:278(draw)
      372    0.000    0.000    0.057    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:1172(draw)
    31894    0.027    0.000    0.055    0.000 rebuild/pipeline/settle.py:642(_virtual_left)
      372    0.000    0.000    0.055    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:649(execute)
      372    0.009    0.000    0.054    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:341(execute)
     9298    0.001    0.000    0.053    0.000 rebuild/review/ink.py:202(<genexpr>)
     9283    0.001    0.000    0.052    0.000 rebuild/review/ink.py:199(<genexpr>)
    77548    0.017    0.000    0.045    0.000 rebuild/pipeline/settle.py:370(when_matches)
   167572    0.028    0.000    0.044    0.000 {method 'get' of 'dict' objects}


         14082793 function calls (13995062 primitive calls) in 2.955 seconds

   Ordered by: internal time
   List reduced from 280 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3235051    0.767    0.000    1.028    0.000 rebuild/review/ink.py:88(<genexpr>)
  5712093    0.261    0.000    0.261    0.000 rebuild/review/ink.py:89(<genexpr>)
    14032    0.193    0.000    0.225    0.000 rebuild/validation/shaping.py:36(shape)
    61666    0.181    0.000    1.209    0.000 rebuild/review/ink.py:87(translate_outline)
     3481    0.147    0.000    0.147    0.000 {built-in method builtins.repr}
37167/28136    0.114    0.000    0.332    0.000 rebuild/pipeline/settle.py:525(candidates)
   270022    0.082    0.000    0.105    0.000 rebuild/review/ink.py:221(<genexpr>)
12338/5167    0.072    0.000    0.680    0.000 rebuild/pipeline/settle.py:1178(_transition_trace_uncached)
     6949    0.068    0.000    1.642    0.000 rebuild/review/ink.py:176(config_diff)
     8449    0.062    0.000    1.704    0.000 rebuild/review/build.py:475(<genexpr>)
     1500    0.033    0.000    1.097    0.001 rebuild/review/enrich.py:337(enrich)
   435859    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
    12338    0.029    0.000    0.066    0.000 rebuild/pipeline/settle.py:1303(_commit)
   167572    0.028    0.000    0.044    0.000 {method 'get' of 'dict' objects}
    72473    0.027    0.000    0.035    0.000 rebuild/pipeline/settle.py:475(_pairing_allowed)
    31894    0.027    0.000    0.055    0.000 rebuild/pipeline/settle.py:642(_virtual_left)
    13898    0.023    0.000    1.284    0.000 rebuild/review/ink.py:163(run_ink)
447051/446679    0.023    0.000    0.023    0.000 {built-in method builtins.len}
   477657    0.022    0.000    0.022    0.000 rebuild/review/ink.py:224(<genexpr>)
    15280    0.021    0.000    0.204    0.000 rebuild/pipeline/settle.py:834(_apply_prefers)
50929/44058    0.020    0.000    0.025    0.000 rebuild/pipeline/settle.py:323(cond_matches_right)
     1500    0.018    0.000    0.040    0.000 rebuild/pipeline/explain.py:36(render)
     2621    0.018    0.000    0.040    0.000 rebuild/pipeline/settle.py:1483(form_ligatures)
     4628    0.018    0.000    0.145    0.000 rebuild/review/enrich.py:534(_segment_pieces)
    77548    0.017    0.000    0.045    0.000 rebuild/pipeline/settle.py:370(when_matches)
    39236    0.017    0.000    0.178    0.000 rebuild/pipeline/settle.py:754(_prefer_favors)
    28276    0.017    0.000    0.023    0.000 rebuild/pipeline/settle.py:439(_exit_sources)
    57417    0.017    0.000    1.071    0.000 rebuild/review/ink.py:108(placed)
    46982    0.017    0.000    0.039    0.000 rebuild/pipeline/settle.py:408(_entry_available)
     7995    0.016    0.000    0.121    0.000 rebuild/review/ink.py:220(<genexpr>)
    17656    0.015    0.000    0.250    0.000 rebuild/review/ink.py:65(shape)
    44967    0.015    0.000    0.237    0.000 {built-in method builtins.sorted}
27011/24626    0.015    0.000    0.100    0.000 rebuild/pipeline/settle.py:652(_acceptor_exists)
     1500    0.013    0.000    3.055    0.002 rebuild/review/build.py:473(_phase1_unit)
    57855    0.013    0.000    0.024    0.000 rebuild/pipeline/settle.py:491(_refusal_hit)
     2621    0.013    0.000    0.018    0.000 rebuild/pipeline/settle.py:1463(tokens_from_codepoints)
    80979    0.013    0.000    0.018    0.000 <string>:25(__hash__)
    27325    0.012    0.000    0.023    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:1246(getToken)
    27796    0.012    0.000    0.136    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/collections/__init__.py:602(__init__)
49950/19448    0.012    0.000    0.423    0.000 rebuild/pipeline/settle.py:682(_prospect)
51116/47456    0.011    0.000    0.014    0.000 rebuild/pipeline/settle.py:275(cond_matches_left)
    68980    0.011    0.000    0.015    0.000 rebuild/validation/shaping.py:45(<genexpr>)
   139443    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
    76539    0.011    0.000    0.016    0.000 <string>:22(__hash__)
31231/26115    0.011    0.000    0.024    0.000 {method 'join' of 'str' objects}


