config	codepoints	kinds	matched_entry	baseline	new
default	E653:E668:0020:200C	cell	boundary-echo	qsDay|qsRoe|space|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|space/boundary/None/None/|zwnj/boundary/None/None/
default	E653:E668:0020:E650	cell	boundary-echo	qsDay|qsRoe|space|qsPea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|space/boundary/None/None/|qsPea/full/None/None/
default	E653:E668:0020:E652	cell	boundary-echo	qsDay|qsRoe|space|qsTea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|space/boundary/None/None/|qsTea/full/None/None/
default	E653:E668:0020:E653	cell	boundary-echo	qsDay|qsRoe|space|qsDay	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|space/boundary/None/None/|qsDay/full/None/None/
default	E653:E668:0020:E668	cell	boundary-echo	qsDay|qsRoe|space|qsRoe	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|space/boundary/None/None/|qsRoe/hapax/None/None/
default	E653:E668:00B7:0020	cell	boundary-echo	qsDay|qsRoe|periodcentered|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|space/boundary/None/None/
default	E653:E668:00B7:00B7	cell	bare-name-live-join	qsDay|qsRoe|periodcentered|periodcentered	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|namer-dot/boundary/None/None/
default	E653:E668:00B7:200C	cell	boundary-echo	qsDay|qsRoe|periodcentered|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|zwnj/boundary/None/None/
default	E653:E668:00B7:E650	cell	bare-name-live-join	qsDay|qsRoe|periodcentered|qsPea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|qsPea/full/None/None/
default	E653:E668:00B7:E652	cell	bare-name-live-join	qsDay|qsRoe|periodcentered|qsTea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|qsTea/full/None/None/
default	E653:E668:00B7:E653	cell	bare-name-live-join	qsDay|qsRoe|periodcentered|qsDay	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|qsDay/full/None/None/
default	E653:E668:00B7:E668	cell	bare-name-live-join	qsDay|qsRoe|periodcentered.lowered|qsRoe	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|namer-dot/boundary/None/None/|qsRoe/hapax/None/None/
default	E653:E668:200C:0020	cell	boundary-echo	qsDay|qsRoe|space|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|space/boundary/None/None/
default	E653:E668:200C:00B7	cell	boundary-echo	qsDay|qsRoe|space|periodcentered	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|namer-dot/boundary/None/None/
default	E653:E668:200C:200C	cell	boundary-echo	qsDay|qsRoe|space|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|zwnj/boundary/None/None/
default	E653:E668:200C:E650	cell	boundary-echo	qsDay|qsRoe|space|qsPea.noentry	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|qsPea/full/None/None/locked
default	E653:E668:200C:E652	cell	boundary-echo	qsDay|qsRoe|space|qsTea.noentry	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|qsTea/full/None/None/locked
default	E653:E668:200C:E653	cell	boundary-echo	qsDay|qsRoe|space|qsDay.noentry	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|qsDay/full/None/None/locked
default	E653:E668:200C:E668	cell	boundary-echo	qsDay|qsRoe|space|qsRoe.noentry	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|zwnj/boundary/None/None/|qsRoe/hapax/None/None/locked
default	E653:E668:E650:0020	cell	boundary-echo	qsDay|qsRoe|qsPea|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/full/None/None/|space/boundary/None/None/
default	E653:E668:E650:00B7	cell	bare-name-live-join	qsDay|qsRoe|qsPea|periodcentered	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/full/None/None/|namer-dot/boundary/None/None/
default	E653:E668:E650:200C	cell	boundary-echo	qsDay|qsRoe|qsPea|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/full/None/None/|zwnj/boundary/None/None/
default	E653:E668:E650:E650	cell	dangling-anchor-dropped	qsDay|qsRoe|qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	E653:E668:E650:E652	cell	bare-name-live-join	qsDay|qsRoe|qsPea|qsTea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/full/None/None/|qsTea/full/None/None/
default	E653:E668:E650:E653	cell	dangling-anchor-dropped	qsDay|qsRoe|qsPea|qsDay.half.en-y0.ex-y0	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/
default	E653:E668:E650:E668	cell	bare-name-live-join	qsDay|qsRoe|qsPea.half.ex-y5.ex-dips|qsRoe.en-y5.en-con-1	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsPea/half/None/x-height/|qsRoe/hapax/x-height/None/en-con-1
default	E653:E668:E652:0020	cell	boundary-echo	qsDay|qsRoe|qsTea|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/full/None/None/|space/boundary/None/None/
default	E653:E668:E652:00B7	cell	bare-name-live-join	qsDay|qsRoe|qsTea|periodcentered	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/full/None/None/|namer-dot/boundary/None/None/
default	E653:E668:E652:200C	cell	boundary-echo	qsDay|qsRoe|qsTea|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/full/None/None/|zwnj/boundary/None/None/
default	E653:E668:E652:E650	cell	bare-name-live-join	qsDay|qsRoe|qsTea|qsPea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/full/None/None/|qsPea/full/None/None/
default	E653:E668:E652:E652	cell	bare-name-live-join	qsDay|qsRoe|qsTea|qsTea	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/full/None/None/|qsTea/full/None/None/
default	E653:E668:E652:E653	cell	dangling-anchor-dropped	qsDay|qsRoe|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
default	E653:E668:E652:E668	cell	bare-name-live-join	qsDay|qsRoe|qsTea.half.ex-y5|qsRoe.en-y5.en-con-1	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsTea/half/None/x-height/|qsRoe/hapax/x-height/None/en-con-1
default	E653:E668:E653:0020	cell	boundary-echo	qsDay|qsRoe|qsDay|space	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/None/|space/boundary/None/None/
default	E653:E668:E653:00B7	cell	bare-name-live-join	qsDay|qsRoe|qsDay|periodcentered	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/|qsDay/full/None/None/|namer-dot/boundary/None/None/
