import time: self [us] | cumulative | imported package
import time:       501 |        501 |         rebuild.pipeline.explain
import time:        13 |         13 |               _string
import time:       118 |        130 |             string
import time:        15 |         15 |             atexit
import time:       617 |        761 |           logging
import time:        86 |         86 |                   fontTools.misc
import time:        15 |         15 |                     gc
import time:        84 |         98 |                   timeit
import time:       156 |        340 |                 fontTools.misc.loggingTools
import time:        83 |        423 |               fontTools
import time:        49 |        472 |             fontTools.pens
import time:       404 |        404 |               fontTools.misc.transform
import time:       167 |        570 |             fontTools.pens.basePen
import time:        47 |         47 |               fontTools.misc.enumTools
import time:       244 |        290 |             fontTools.pens.pointPen
import time:       144 |       1475 |           fontTools.pens.recordingPen
import time:       493 |        493 |               fontTools.misc.configTools
import time:        93 |        586 |             fontTools.config
import time:        72 |         72 |                 fontTools.misc.textTools
import time:       134 |        206 |               fontTools.misc.xmlWriter
import time:        45 |         45 |                     fontTools.misc.roundTools
import time:        51 |         96 |                   fontTools.misc.fixedTools
import time:       219 |        315 |                 fontTools.misc.sstruct
import time:       207 |        521 |               fontTools.ttLib.sfnt
import time:       140 |        140 |                   numbers
import time:       192 |        331 |                 fontTools.misc.vector
import time:       144 |        144 |                   fontTools.pens.filterPen
import time:        76 |        219 |                 fontTools.pens.transformPen
import time:       202 |        751 |               fontTools.ttLib.ttGlyphSet
import time:       411 |       1888 |             fontTools.ttLib.ttFont
import time:        76 |         76 |             fontTools.ttLib.ttCollection
import time:        97 |       2646 |           fontTools.ttLib
import time:        68 |         68 |               uharfbuzz._version
import time:      3403 |       3403 |               uharfbuzz._harfbuzz
import time:        96 |       3565 |             uharfbuzz
import time:        78 |         78 |             rebuild.validation.classify
import time:       377 |       4019 |           rebuild.validation.shaping
import time:       306 |       9206 |         rebuild.review.ink
import time:      1099 |      10805 |       rebuild.review.enrich
import time:       858 |        858 |       rebuild.validation.pins
import time:       927 |      17177 |     rebuild.review.drafts
import time:       358 |      27043 |   rebuild.review.unit_cache
import time:       863 |      56120 | rebuild.review.build
