import time: self [us] | cumulative | imported package
import time:      1945 |       2036 |   rebuild.pipeline.conform
import time:       503 |        503 |   rebuild.pipeline.defects
import time:        54 |         54 |   rebuild.pipeline.emit_gpos
import time:       731 |        731 |   rebuild.pipeline.emit_gsub
import time:       152 |        152 |       rebuild.pipeline.specificity
import time:      1542 |       1693 |     rebuild.pipeline.settle
import time:        80 |         80 |             fontTools.misc
import time:        17 |         17 |               gc
import time:        84 |        101 |             timeit
import time:       155 |        334 |           fontTools.misc.loggingTools
import time:       125 |        459 |         fontTools
import time:       378 |        378 |           fontTools.misc.configTools
import time:        89 |        467 |         fontTools.config
import time:        69 |         69 |             fontTools.misc.textTools
import time:       118 |        186 |           fontTools.misc.xmlWriter
import time:        49 |         49 |                 fontTools.misc.roundTools
import time:        57 |        105 |               fontTools.misc.fixedTools
import time:       211 |        316 |             fontTools.misc.sstruct
import time:       198 |        513 |           fontTools.ttLib.sfnt
import time:       142 |        142 |               numbers
import time:        76 |        217 |             fontTools.misc.vector
import time:       390 |        390 |             fontTools.misc.transform
import time:        48 |         48 |               fontTools.pens
import time:       143 |        143 |                 fontTools.pens.basePen
import time:        42 |         42 |                   fontTools.misc.enumTools
import time:       246 |        287 |                 fontTools.pens.pointPen
import time:       207 |        207 |                 fontTools.pens.recordingPen
import time:       148 |        783 |               fontTools.pens.filterPen
import time:       105 |        935 |             fontTools.pens.transformPen
import time:       190 |       1730 |           fontTools.ttLib.ttGlyphSet
import time:       503 |       2931 |         fontTools.ttLib.ttFont
import time:        79 |         79 |         fontTools.ttLib.ttCollection
import time:        86 |       4021 |       fontTools.ttLib
import time:        77 |       4097 |     rebuild.validation.classify
import time:        66 |         66 |           uharfbuzz._version
import time:      3386 |       3386 |           uharfbuzz._harfbuzz
import time:        94 |       3545 |         uharfbuzz
import time:       370 |       3914 |       rebuild.validation.shaping
import time:       932 |       4846 |     rebuild.validation.pins
import time:       373 |      11008 |   rebuild.pipeline.manual_pins
import time:       576 |        576 |     rebuild.pipeline.spec_load
import time:       109 |        685 |   rebuild.pipeline.surface
import time:       144 |        144 |   rebuild.pipeline.trace_memo
import time:      1670 |       1670 |   rebuild.pipeline.table
import time:       334 |      51868 | rebuild.pipeline.run_m1
