import time: self [us] | cumulative | imported package
import time:       152 |        152 |                       fontTools.pens.basePen
import time:        47 |         47 |                         fontTools.misc.enumTools
import time:       348 |        394 |                       fontTools.pens.pointPen
import time:        94 |         94 |                       fontTools.pens.recordingPen
import time:       148 |        787 |                     fontTools.pens.filterPen
import time:       110 |        946 |                   fontTools.pens.transformPen
import time:       193 |       1520 |                 fontTools.ttLib.ttGlyphSet
import time:       395 |       2237 |               fontTools.ttLib.ttFont
import time:        75 |         75 |               fontTools.ttLib.ttCollection
import time:        81 |       3003 |             fontTools.ttLib
import time:        59 |         59 |               fontTools.ttLib.tables
import time:        59 |         59 |               fontTools.ttLib.tables.DefaultTable
import time:       156 |        272 |             fontTools.ttLib.tables._f_v_a_r
import time:        65 |         65 |               fontTools.misc.arrayTools
import time:       546 |        546 |               fontTools.misc.bezierTools
import time:       435 |        435 |               fontTools.ttLib.tables.ttProgram
import time:        63 |         63 |               fontTools.misc.filenames
import time:       304 |       1411 |             fontTools.ttLib.tables._g_l_y_f
import time:       115 |        115 |             fontTools.ttLib.tables.TupleVariation
import time:        67 |         67 |                     uharfbuzz._version
import time:      3403 |       3403 |                     uharfbuzz._harfbuzz
import time:       110 |       3579 |                   uharfbuzz
import time:       358 |       3936 |                 fontTools.ttLib.tables.otBase
import time:       107 |       4042 |               fontTools.ttLib.tables.otTraverse
import time:        90 |         90 |               fontTools.pens.boundsPen
import time:       332 |        332 |               fontTools.ttLib.tables.otData
import time:        77 |         77 |                 fontTools.misc.lazyTools
import time:       640 |        716 |               fontTools.ttLib.tables.otConverters
import time:      4415 |       9594 |             fontTools.ttLib.tables.otTables
import time:       115 |        115 |             fontTools.varLib.builder
import time:       193 |        193 |               fontTools.varLib.errors
import time:       109 |        302 |             fontTools.varLib.models
import time:        43 |         43 |               fontTools.misc.intTools
import time:       233 |        276 |             fontTools.varLib.varStore
import time:        52 |         52 |                 fontTools.colorLib
import time:        40 |         40 |                 fontTools.misc.treeTools
import time:        69 |         69 |                 fontTools.ttLib.tables.C_O_L_R_
import time:       119 |        119 |                 fontTools.ttLib.tables.C_P_A_L_
import time:        44 |         44 |                       fontTools.encodings
import time:        84 |        128 |                     fontTools.encodings.codecs
import time:        48 |        176 |                   fontTools.misc.encodingTools
import time:        66 |         66 |                     fontTools.misc.visitor
import time:        61 |        126 |                   fontTools.ttLib.ttVisitor
import time:       285 |        586 |                 fontTools.ttLib.tables._n_a_m_e
import time:        56 |         56 |                 fontTools.colorLib.errors
import time:        58 |         58 |                 fontTools.colorLib.geometry
import time:       113 |        113 |                 fontTools.colorLib.table_builder
import time:       290 |       1379 |               fontTools.colorLib.builder
import time:        58 |         58 |               fontTools.misc.classifyTools
import time:        47 |         47 |                 fontTools.otlLib
import time:       531 |        531 |                 fontTools.feaLib.ast
import time:       121 |        121 |                       gettext
import time:       594 |        714 |                     argparse
import time:       345 |        345 |                     fontTools.otlLib.optimize.gpos
import time:        64 |       1123 |                   fontTools.otlLib.optimize
import time:         7 |       1129 |                 fontTools.otlLib.optimize.gpos
import time:        54 |         54 |                 fontTools.otlLib.error
import time:       551 |       2311 |               fontTools.otlLib.builder
import time:       262 |       4009 |             fontTools.varLib.merger
import time:        59 |         59 |             fontTools.varLib.mvar
import time:       533 |        533 |             fontTools.varLib.iup
import time:        58 |         58 |               fontTools.misc.dictTools
import time:       109 |        167 |             fontTools.varLib.featureVars
import time:        39 |         39 |                   lxml
import time:         8 |         46 |                 lxml.etree
import time:        65 |         65 |                     xml
import time:        70 |        134 |                   xml.etree
import time:       172 |        172 |                     xml.etree.ElementPath
import time:       482 |        482 |                       pyexpat
import time:       464 |        945 |                     _elementtree
import time:      1155 |       2271 |                   xml.etree.ElementTree
import time:        63 |       2467 |                 xml.etree.cElementTree
import time:       264 |       2776 |               fontTools.misc.etree
import time:       240 |        240 |               fontTools.misc.plistlib
import time:       402 |       3418 |             fontTools.designspaceLib
import time:       252 |        252 |               fontTools.designspaceLib.statNames
import time:       227 |        227 |               fontTools.designspaceLib.types
import time:       131 |        609 |             fontTools.designspaceLib.split
import time:        65 |         65 |             fontTools.varLib.stat
import time:        58 |         58 |             fontTools.colorLib.unbuilder
import time:       138 |        138 |             pprint
import time:       358 |      24713 |           fontTools.varLib
import time:         7 |      24720 |         fontTools.varLib.models
import time:        77 |      24797 |       fontTools.feaLib.variableScalar
import time:       337 |      26111 |     fontTools.feaLib.parser
import time:        52 |         52 |     fontTools.otlLib.maxContextCalc
import time:       245 |      28386 |   fontTools.feaLib.builder
import time:        52 |         52 |       fontTools.unicode
import time:       194 |        246 |     fontTools.ttLib.tables._c_m_a_p
import time:       433 |        433 |         _bisect
import time:        66 |        499 |       bisect
import time:       125 |        624 |     fontTools.ttLib.tables.O_S_2f_2
import time:       340 |        340 |       calendar
import time:        56 |        396 |     fontTools.misc.timeTools
import time:       143 |       1407 |   fontTools.fontBuilder
import time:       251 |        251 |         fontTools.misc.psCharStrings
import time:       692 |        942 |       fontTools.cffLib
import time:       149 |       1090 |     fontTools.cffLib.specializer
import time:        88 |       1177 |   fontTools.pens.t2CharStringPen
import time:        76 |         76 |   departure_mono_import
import time:      2579 |       2579 |     quikscript_ir
import time:      1788 |       1788 |       quikscript_fea
import time:      1158 |       2945 |     quikscript_join_analysis
import time:       249 |       5772 |   glyph_compiler
import time:       308 |      59082 | build_font
