import time: self [us] | cumulative | imported package
import time:       119 |        186 |           fontTools.misc.xmlWriter
import time:        46 |         46 |                 fontTools.misc.roundTools
import time:        53 |         99 |               fontTools.misc.fixedTools
import time:       194 |        292 |             fontTools.misc.sstruct
import time:       188 |        480 |           fontTools.ttLib.sfnt
import time:       154 |        154 |               numbers
import time:        86 |        240 |             fontTools.misc.vector
import time:       139 |        139 |               fontTools.pens.filterPen
import time:        70 |        208 |             fontTools.pens.transformPen
import time:       194 |        641 |           fontTools.ttLib.ttGlyphSet
import time:       521 |       1826 |         fontTools.ttLib.ttFont
import time:        78 |         78 |         fontTools.ttLib.ttCollection
import time:        88 |       2445 |       fontTools.ttLib
import time:        74 |         74 |           uharfbuzz._version
import time:      3335 |       3335 |           uharfbuzz._harfbuzz
import time:       105 |       3513 |         uharfbuzz
import time:        83 |         83 |         rebuild.validation.classify
import time:       467 |       4062 |       rebuild.validation.shaping
import time:       148 |      11781 |     rebuild.review.ink
import time:      1139 |      28760 |   rebuild.review.enrich
import time:       114 |        114 |   rebuild.review.families
import time:       169 |      46170 | rebuild.review.census
