config	codepoints	kinds	matched_entry	baseline	new
default	E652:E650:E650:E670	cell,seam	pea-chain-regularized	qsTea|qsPea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0	qsTea/full/None/None/|qsPea/half/None/y6/|qsPea/half/y6/x-height/|qsIt/bar/x-height/None/
default	E652:E650:E650:E679	cell	dangling-anchor-dropped	qsTea|qsPea.half.en-y6.ex-y6|qsPea.en-y6|qsOy	qsTea/full/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/|qsOy/loop/None/None/
default	E652:E650:E652:E665	cell	dangling-anchor-dropped	qsTea|qsPea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	qsTea/full/None/None/|qsPea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E652:E650:E652:E670	cell	dangling-anchor-dropped	qsTea|qsPea|qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/full/None/None/|qsPea/full/None/None/|qsTea/half/None/x-height/|qsIt/bar/x-height/None/
default	E652:E650:E665:0020	cell	dangling-anchor-dropped	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1|space	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1|space/boundary/None/None/
default	E652:E650:E665:00B7	cell	dangling-anchor-dropped	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1|periodcentered	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1|namer-dot/boundary/None/None/
default	E652:E650:E665:200C	cell	dangling-anchor-dropped	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1|space	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1|zwnj/boundary/None/None/
default	E652:E650:E665:E650	cell	dangling-anchor-dropped	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsPea.en-y5.ex-y0	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsPea/full/x-height/None/
default	E652:E650:E665:E652	cell	may-exit-withdrawal-generalized	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsTea	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsTea/full/None/None/
default	E652:E650:E665:E665	cell	may-exit-withdrawal-generalized	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1|qsMay	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsMay/loop/None/None/
default	E652:E650:E665:E670	cell	dangling-anchor-dropped	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsIt.en-y5.ex-y0	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsIt/bar/x-height/None/
default	E652:E650:E665:E679	cell	dangling-anchor-dropped	qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsOy.en-y5.ex-y0	qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsOy/loop/x-height/None/
default	E652:E650:E670:0020	cell	dangling-anchor-dropped	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|space	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/|space/boundary/None/None/
default	E652:E650:E670:00B7	cell	dangling-anchor-dropped	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|periodcentered	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/|namer-dot/boundary/None/None/
default	E652:E650:E670:200C	cell	dangling-anchor-dropped	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|space	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/|zwnj/boundary/None/None/
default	E652:E650:E670:E650	cell	dangling-anchor-dropped	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|qsPea	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/|qsPea/full/None/None/
default	E652:E650:E670:E652	cell	dangling-anchor-dropped	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|qsTea	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/|qsTea/full/None/None/
default	E652:E650:E670:E665	cell	same-seam-extension-non-summing	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0.ex-ext-1|qsMay.en-y0.ex-y5.en-ext-1	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/baseline/ex-ext-1|qsMay/loop/baseline/None/
default	E652:E650:E670:E670	cell,seam	entered-it-baseline-join-gain	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|qsIt	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/baseline/ex-ext-1|qsIt/bar/baseline/None/
default	E652:E650:E670:E679	cell	dangling-anchor-dropped	qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0|qsOy	qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/|qsOy/loop/None/None/
default	E652:E650:E679:E652	cell	bare-name-live-join	qsTea|qsPea|qsOy|qsTea.en-y0	qsTea/full/None/None/|qsPea/full/None/None/|qsOy/loop/None/baseline/|qsTea/full/baseline/None/
default	E652:E650:E679:E665	cell	dangling-anchor-dropped	qsTea|qsPea|qsOy|qsMay.en-y0.ex-y5	qsTea/full/None/None/|qsPea/full/None/None/|qsOy/loop/None/baseline/|qsMay/loop/baseline/None/
default	E652:E650:E679:E670	cell	dangling-anchor-dropped	qsTea|qsPea|qsOy|qsIt.en-y0.ex-y5	qsTea/full/None/None/|qsPea/full/None/None/|qsOy/loop/None/baseline/|qsIt/bar/baseline/None/
default	E652:E652:E650:E650	cell	dangling-anchor-dropped	qsTea|qsTea|qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsTea/full/None/None/|qsTea/full/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	E652:E652:E650:E665	cell	dangling-anchor-dropped	qsTea|qsTea|qsPea|qsMay.en-y0.ex-y5.en-ext-1	qsTea/full/None/None/|qsTea/full/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E652:E652:E650:E670	cell	dangling-anchor-dropped	qsTea|qsTea|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0	qsTea/full/None/None/|qsTea/full/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/
default	E652:E652:E652:E665	cell	dangling-anchor-dropped	qsTea|qsTea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	qsTea/full/None/None/|qsTea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E652:E652:E652:E670	cell	dangling-anchor-dropped	qsTea|qsTea|qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/full/None/None/|qsTea/full/None/None/|qsTea/half/None/x-height/|qsIt/bar/x-height/None/
default	E652:E652:E665:0020	cell	dangling-anchor-dropped	qsTea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1|space	qsTea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1|space/boundary/None/None/
default	E652:E652:E665:00B7	cell	dangling-anchor-dropped	qsTea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1|periodcentered	qsTea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1|namer-dot/boundary/None/None/
default	E652:E652:E665:200C	cell	dangling-anchor-dropped	qsTea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1|space	qsTea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1|zwnj/boundary/None/None/
default	E652:E652:E665:E650	cell	dangling-anchor-dropped	qsTea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1.ex-ext-1|qsPea.en-y5.ex-y0	qsTea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/x-height/en-ext-1+ex-ext-1|qsPea/full/x-height/None/
default	E652:E652:E665:E652	cell	may-exit-withdrawal-generalized	qsTea|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1|qsTea	qsTea/full/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1+ex-bind-pulled-back|qsTea/full/None/None/
