# Benign isolation-leak census at depth 4. Generated by `make leak-snapshot`; do not hand-edit.
# The welcome faux-organic variation (subtractive trims, standalone-variant swaps, cosmetic tucks). Any change is surfaced for review.
# Each line: <example sequence> [break N] :: <glyph diff>. See doc/definitions/shaping-leakage.md.
# count: 247

At They Utter Jai [break 1] :: *L qsThey->qsThey_qsUtter.noentry.ex-con-1 | *R qsUtter.ex-con-2->qsThey_qsUtter.noentry.ex-con-1
At They Zoo [break 1] :: *L qsThey->qsThey_qsZoo | *R qsZoo->qsThey_qsZoo
Ah They May Day [break 1] :: *L qsThey.en-y5->qsThey |  R qsMay.ex-ext-1->qsMay.ex-ext-1
Ah They May Ah [break 1] :: *L qsThey.en-y5->qsThey |  R qsMay.ex-y0->qsMay.ex-y0
Ah They Zoo [break 1] :: *L qsThey.en-y5->qsThey_qsZoo | *R qsZoo->qsThey_qsZoo
I They Zoo [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey_qsZoo | *R qsZoo->qsThey_qsZoo
Ah ZWNJ They Zoo [break 2] :: *L qsThey.noentry->qsThey_qsZoo | *R qsZoo->qsThey_qsZoo
They Utter Fee Awe [break 1] ::  L qsThey_qsUtter->qsThey_qsUtter | *R qsFee.ex-y5->qsFee
They Utter Fee May [break 1] ::  L qsThey_qsUtter->qsThey_qsUtter | *R qsFee.ex-y5.before-may.ex-ext-3->qsFee
They Utter Fee Cheer [break 1] ::  L qsThey_qsUtter->qsThey_qsUtter | *R qsFee.ex-y5.before-utter.ex-ext-1->qsFee
They Zoo Excite Ah [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite
They Zoo Gay Ah [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsGay.ex-y0->qsGay
They Zoo Gay Awe [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsGay.ex-y5->qsGay
They Zoo It Awe [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsIt.ex-y5->qsIt
They Zoo May Day [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsMay.ex-ext-1->qsMay
They Zoo May Ah [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsMay.ex-y0->qsMay
They Zoo No Ah [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsNo.alt.en-y0.ex-y0->qsNo
They Zoo No Jai [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsNo.ex-con-1->qsNo
They Zoo No Fee [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsNo.ex-ext-1->qsNo
They Zoo Roe Ah [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsRoe.ex-y0->qsRoe
They Zoo Roe I [break 1] ::  L qsThey_qsZoo->qsThey_qsZoo | *R qsRoe.ex-y0.ex-ext-1->qsRoe
Utter ZWNJ May Day [break 0] :: *L qsUtter->qsUtter.alt.ex-y0.before-may |  R qsMay.ex-ext-1->qsMay.ex-ext-1
Utter ZWNJ May Ah [break 0] :: *L qsUtter->qsUtter.alt.ex-y0.before-may |  R qsMay.ex-y0->qsMay.ex-y0
Ah Vie Utter [break 1] :: *L qsVie->qsVie_qsUtter | *R qsUtter->qsVie_qsUtter
Vie Utter May [break 0] :: *L qsVie->qsVie_qsUtter | *R qsUtter.alt.ex-y0.before-may->qsVie_qsUtter
Vie Utter Jai [break 0] :: *L qsVie->qsVie_qsUtter.ex-con-2 | *R qsUtter.ex-con-2->qsVie_qsUtter.ex-con-2
Tea Oy Vie Utter [break 2] :: *L qsVie.en-ext-1->qsVie_qsUtter | *R qsUtter->qsVie_qsUtter
Way They Utter Jai [break 0] ::  L qsWay->qsWay | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1
Ah Way Utter [break 1] :: *L qsWay->qsWay_qsUtter | *R qsUtter->qsWay_qsUtter
Way Utter May [break 0] :: *L qsWay->qsWay_qsUtter | *R qsUtter.alt.ex-y0.before-may->qsWay_qsUtter
Way Utter Jai [break 0] :: *L qsWay->qsWay_qsUtter.ex-con-2 | *R qsUtter.ex-con-2->qsWay_qsUtter.ex-con-2
Ah Why Utter [break 1] :: *L qsWhy->qsWhy_qsUtter | *R qsUtter->qsWhy_qsUtter
Why Utter May [break 0] :: *L qsWhy->qsWhy_qsUtter | *R qsUtter.alt.ex-y0.before-may->qsWhy_qsUtter
Why Utter Jai [break 0] :: *L qsWhy->qsWhy_qsUtter.ex-con-2 | *R qsUtter.ex-con-2->qsWhy_qsUtter.ex-con-2
Ye Excite It May [break 0] ::  L qsYe->qsYe | *R qsExcite->qsExcite.nonjoining-left
Ye Excite No Day [break 0] ::  L qsYe->qsYe | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite.en-y0.ex-y0.before-vertical.noentry
Ye Excite It Awe [break 0] ::  L qsYe->qsYe | *R qsExcite.en-y0.ex-y0.before-vertical->qsExcite.nonjoining-left
Ye See Fee [break 0] ::  L qsYe->qsYe | *R qsSee->qsSee.after-ye
Ah Ye Ing Thaw [break 1] :: *L qsYe.en-y5.ex-y0->qsYe | *R qsIng.ex-ext-2->qsIng.noentry.ex-ext-2
Ah Ye Tea Oy [break 1] :: *L qsYe.en-y5.ex-y0->qsYe |  R qsTea_qsOy->qsTea_qsOy
Ah Ye Thaw Ing [break 1] :: *L qsYe.en-y5.ex-y0->qsYe |  R qsThaw.ex-y0->qsThaw.ex-y0
Ah Ye See Fee [break 1] ::  L qsYe.en-y5.ex-y0->qsYe.en-y5.ex-y0 | *R qsSee->qsSee.after-ye
Zoo He No Ah [break 0] ::  L qsZoo->qsZoo | *R qsHe.half.ex-y5->qsHe.ex-y0
Zoo Tea No Ah [break 0] ::  L qsZoo->qsZoo | *R qsTea.half.ex-y5->qsTea.ex-y0
May Zoo Tea Oy [break 1] :: *L qsZoo.en-ext-1->qsZoo |  R qsTea_qsOy->qsTea_qsOy
May Zoo Thaw Ing [break 1] :: *L qsZoo.en-ext-1->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0
He Zoo Tea Oy [break 1] :: *L qsZoo.en-trim-1->qsZoo |  R qsTea_qsOy->qsTea_qsOy
He Zoo Thaw Ing [break 1] :: *L qsZoo.en-trim-1->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0
Awe Zoo Tea Oy [break 1] :: *L qsZoo.half.en-y0.ex-y0->qsZoo |  R qsTea_qsOy->qsTea_qsOy
Awe Zoo Thaw Ing [break 1] :: *L qsZoo.half.en-y0.ex-y0->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0
