# Benign isolation-leak census at depth 4. Generated by `make leak-snapshot`; do not hand-edit.
# The welcome faux-organic variation (subtractive trims, standalone-variant swaps, cosmetic tucks). Any change is surfaced for review.
# Each line: <example sequence> [break N] :: <glyph diff>. See doc/definitions/shaping-leakage.md.
# count: 247

Awe Excite See Out [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1
Awe Excite See Low [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2
Awe Excite See Ooze [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right
Awe Excite Tea Ah [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsTea.ex-y0->qsTea.ex-y0
Awe Excite Tea Awe [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsTea.half.ex-y5->qsTea.half.ex-y5
Awe Excite Utter Ah [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsUtter.alt.ex-y0->qsUtter.alt.ex-y0
Awe Excite Utter May [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsUtter.alt.ex-y0.before-may->qsUtter.alt.ex-y0.before-may
Foot They Utter Jai [break 0] ::  L qsFoot->qsFoot | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1
Ah Gay Tea Oy [break 1] :: *L qsGay->qsGay.en-y5.ex-noentry |  R qsTea_qsOy->qsTea_qsOy
Ah Gay Thaw Ing [break 1] :: *L qsGay->qsGay.en-y5.ex-noentry |  R qsThaw.ex-y0->qsThaw.ex-y0
Awe Gay Tea Oy [break 1] :: *L qsGay.en-y0.ex-y5->qsGay |  R qsTea_qsOy->qsTea_qsOy
Ing He No Ah [break 0] ::  L qsIng->qsIng | *R qsHe.half.ex-y5->qsHe.ex-y0
Ing Tea No Ah [break 0] ::  L qsIng->qsIng | *R qsTea.half.ex-y5->qsTea.ex-y0
Tea Ing Tea Oy [break 1] :: *L qsIng.en-ext-1->qsIng |  R qsTea_qsOy->qsTea_qsOy
Tea Ing Thaw Ing [break 1] :: *L qsIng.en-ext-1->qsIng |  R qsThaw.ex-y0->qsThaw.ex-y0
Thaw Ing Thaw Ing [break 1] :: *L qsIng.en-ext-2->qsIng |  R qsThaw.ex-y0->qsThaw.ex-y0
Ye Ing Tea Oy [break 1] :: *L qsIng.noentry->qsIng |  R qsTea_qsOy->qsTea_qsOy
Ye Ing Thaw Ing [break 1] :: *L qsIng.noentry->qsIng |  R qsThaw.ex-y0->qsThaw.ex-y0
Out Tea It No [break 2] ::  L qsIt->qsIt | *R qsNo->qsNo.alt.en-y0.ex-y0.after-it-and-vie
Bay It See At [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0->qsSee
Bay It See Out [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0.ex-con-1->qsSee
Bay It See Low [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0.ex-ext-2->qsSee
Bay It See Ooze [break 1] ::  L qsIt.en-y0.ex-y5->qsIt.en-y0.ex-y5 | *R qsSee.ex-y0.ex-y0-right->qsSee
Awe It Utter Ah [break 1] :: *L qsIt.en-y0.ex-y5->qsIt.ex-y0.before-utter |  R qsUtter.alt.ex-y0->qsUtter.alt.ex-y0
Key It Utter Ah [break 1] :: *L qsIt.en-y0.ex-y5.en-ext-1->qsIt.ex-y0.before-utter |  R qsUtter.alt.ex-y0->qsUtter.alt.ex-y0
He It Utter Ah [break 1] :: *L qsIt.en-y5.ex-y0->qsIt.ex-y0.before-utter |  R qsUtter.alt.ex-y0->qsUtter.alt.ex-y0
Awe He It It [break 2] :: *L qsIt.en-y5.ex-y0->qsIt.ex-y5 |  R qsIt->qsIt
Jai Tea No Ah [break 0] ::  L qsJai->qsJai | *R qsTea.half.ex-y5->qsTea.ex-y0
At Jai Tea Oy [break 1] :: *L qsJai.en-y5.ex-y0->qsJai |  R qsTea_qsOy->qsTea_qsOy
At Jai Thaw Ing [break 1] :: *L qsJai.en-y5.ex-y0->qsJai |  R qsThaw.ex-y0->qsThaw.ex-y0
Gay Jai Tea Oy [break 1] :: *L qsJai.en-y5.ex-y0.en-ext-2->qsJai |  R qsTea_qsOy->qsTea_qsOy
Gay Jai Thaw Ing [break 1] :: *L qsJai.en-y5.ex-y0.en-ext-2->qsJai |  R qsThaw.ex-y0->qsThaw.ex-y0
Jay Tea No Ah [break 0] ::  L qsJay->qsJay | *R qsTea.half.ex-y5->qsTea.ex-y0
It Jay Tea Oy [break 1] :: *L qsJay.en-y5.ex-y0.en-ext-1->qsJay.en-y5.ex-y0 |  R qsTea_qsOy->qsTea_qsOy
It Jay Thaw Ing [break 1] :: *L qsJay.en-y5.ex-y0.en-ext-1->qsJay.en-y5.ex-y0 |  R qsThaw.ex-y0->qsThaw.ex-y0
Key He No Ah [break 0] ::  L qsKey->qsKey | *R qsHe.half.ex-y5->qsHe.ex-y0
Key Tea No Ah [break 0] ::  L qsKey->qsKey | *R qsTea.half.ex-y5->qsTea.ex-y0
Llan He No Ah [break 0] ::  L qsLlan->qsLlan | *R qsHe.half.ex-y5->qsHe.ex-y0
Llan Tea No Ah [break 0] ::  L qsLlan->qsLlan | *R qsTea.half.ex-y5->qsTea.ex-y0
He Llan Tea Oy [break 1] :: *L qsLlan.en-ext-1->qsLlan |  R qsTea_qsOy->qsTea_qsOy
