0020	space	0		0,0,350
00B7	periodcentered	0		0,0,150
200C	space	0		0,0,0
E650	qsPea	0		0,0,250
E652	qsTea	0		0,0,100
E653	qsDay	0		0,0,250
E658	qsFee	0		0,0,300
E665	qsMay	0		0,0,300
E666	qsNo	0		0,0,300
E667	qsLow	0		0,0,300
E670	qsIt	0		0,0,100
E675	qsI	0		0,0,300
E676	qsAh	0		0,0,400
E679	qsOy	0		0,0,450
E67A	qsUtter	0		0,0,300
0020:0020	space|space	0,1	break	0,0,350|0,0,350
0020:00B7	space|periodcentered	0,1	break	0,0,350|0,0,150
0020:200C	space|space	0,1	break	0,0,350|0,0,0
0020:E650	space|qsPea	0,1	break	0,0,350|0,0,250
0020:E652	space|qsTea	0,1	break	0,0,350|0,0,100
0020:E653	space|qsDay	0,1	break	0,0,350|0,0,250
0020:E658	space|qsFee	0,1	break	0,0,350|0,0,300
0020:E665	space|qsMay	0,1	break	0,0,350|0,0,300
0020:E666	space|qsNo	0,1	break	0,0,350|0,0,300
0020:E667	space|qsLow	0,1	break	0,0,350|0,0,300
0020:E670	space|qsIt	0,1	break	0,0,350|0,0,100
0020:E675	space|qsI	0,1	break	0,0,350|0,0,300
0020:E676	space|qsAh	0,1	break	0,0,350|0,0,400
0020:E679	space|qsOy	0,1	break	0,0,350|0,0,450
0020:E67A	space|qsUtter	0,1	break	0,0,350|0,0,300
00B7:0020	periodcentered|space	0,1	break	0,0,150|0,0,350
00B7:00B7	periodcentered|periodcentered	0,1	break	0,0,150|0,0,150
00B7:200C	periodcentered|space	0,1	break	0,0,150|0,0,0
00B7:E650	periodcentered|qsPea	0,1	break	0,0,150|0,0,250
00B7:E652	periodcentered|qsTea	0,1	break	0,0,150|0,0,100
00B7:E653	periodcentered|qsDay	0,1	break	0,0,150|0,0,250
00B7:E658	periodcentered|qsFee	0,1	break	0,0,150|0,0,300
00B7:E665	periodcentered|qsMay	0,1	break	0,0,150|0,0,300
00B7:E666	periodcentered.lowered|qsNo	0,1	break	0,0,150|0,0,300
00B7:E667	periodcentered.lowered|qsLow	0,1	break	0,0,150|0,0,300
00B7:E670	periodcentered.lowered|qsIt	0,1	break	0,0,150|0,0,100
00B7:E675	periodcentered.lowered|qsI	0,1	break	0,0,150|0,0,300
00B7:E676	periodcentered.lowered|qsAh	0,1	break	0,0,150|0,0,400
00B7:E679	periodcentered.lowered|qsOy	0,1	break	0,0,150|0,0,450
00B7:E67A	periodcentered.lowered|qsUtter	0,1	break	0,0,150|0,0,300
200C:0020	space|space	0,1	break	0,0,0|0,0,350
200C:00B7	space|periodcentered	0,1	break	0,0,0|0,0,150
200C:200C	space|space	0,1	break	0,0,0|0,0,0
200C:E650	space|qsPea.noentry	0,1	break	0,0,0|0,0,250
200C:E652	space|qsTea.noentry	0,1	break	0,0,0|0,0,100
200C:E653	space|qsDay.noentry	0,1	break	0,0,0|0,0,250
200C:E658	space|qsFee.noentry	0,1	break	0,0,0|0,0,300
200C:E665	space|qsMay.noentry	0,1	break	0,0,0|0,0,300
200C:E666	space|qsNo.noentry	0,1	break	0,0,0|0,0,300
200C:E667	space|qsLow.noentry	0,1	break	0,0,0|0,0,300
200C:E670	space|qsIt.noentry	0,1	break	0,0,0|0,0,100
200C:E675	space|qsI.noentry	0,1	break	0,0,0|0,0,300
200C:E676	space|qsAh.noentry	0,1	break	0,0,0|0,0,400
200C:E679	space|qsOy.noentry	0,1	break	0,0,0|0,0,450
200C:E67A	space|qsUtter.noentry	0,1	break	0,0,0|0,0,300
E650:0020	qsPea|space	0,1	break	0,0,250|0,0,350
E650:00B7	qsPea|periodcentered	0,1	break	0,0,250|0,0,150
E650:200C	qsPea|space	0,1	break	0,0,250|0,0,0
E650:E650	qsPea.half.en-y6.ex-y6|qsPea.en-y6	0,1	y6	0,0,200|0,0,250
E650:E652	qsPea|qsTea	0,1	break	0,0,250|0,0,100
E650:E653	qsPea|qsDay.half.en-y0.ex-y0	0,1	y0	0,0,200|0,0,250
E650:E658	qsPea|qsFee	0,1	break	0,0,250|0,0,300
E650:E665	qsPea|qsMay.en-y0.ex-y5.en-ext-1	0,1	y0	0,0,200|0,0,350
E650:E666	qsPea.half.ex-y5.ex-dips|qsNo.en-ext-1	0,1	y5	0,0,200|0,0,350
E650:E667	qsPea|qsLow	0,1	y0	0,0,200|0,0,300
E650:E670	qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0	0,1	y5	0,0,200|0,0,100
E650:E675	qsPea|qsI.en-y0.ex-y5.smaller-loop	0,1	y0	0,0,200|0,0,300
E650:E676	qsPea|qsAh	0,1	y0	0,0,200|0,0,400
E650:E679	qsPea|qsOy	0,1	break	0,0,250|0,0,450
E650:E67A	qsPea|qsUtter	0,1	y0	0,0,200|0,0,300
E652:0020	qsTea|space	0,1	break	0,0,100|0,0,350
E652:00B7	qsTea|periodcentered	0,1	break	0,0,100|0,0,150
E652:200C	qsTea|space	0,1	break	0,0,100|0,0,0
E652:E650	qsTea|qsPea	0,1	break	0,0,100|0,0,250
E652:E652	qsTea|qsTea	0,1	break	0,0,100|0,0,100
E652:E653	qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	0,1	y0	0,0,50|0,0,300
E652:E658	qsTea|qsFee	0,1	break	0,0,100|0,0,300
E652:E665	qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	0,1	y0	0,0,50|0,0,350
E652:E666	qsTea.half.ex-y5|qsNo.en-ext-1	0,1	y5	0,0,50|0,0,350
E652:E667	qsTea.ex-y0|qsLow	0,1	y0	0,0,50|0,0,300
E652:E670	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	0,1	y5	0,0,50|0,0,100
E652:E675	qsTea.en-y8.ex-y0.ex-ext-1|qsI	0,1	y0	0,0,100|0,0,300
E652:E676	qsTea.ex-y0|qsAh	0,1	y0	0,0,50|0,0,400
E652:E679	qsTea_qsOy	0	lig	0,0,450
E652:E67A	qsTea.ex-y0|qsUtter	0,1	y0	0,0,50|0,0,300
E653:0020	qsDay|space	0,1	break	0,0,250|0,0,350
E653:00B7	qsDay|periodcentered	0,1	break	0,0,250|0,0,150
E653:200C	qsDay|space	0,1	break	0,0,250|0,0,0
E653:E650	qsDay|qsPea	0,1	break	0,0,100|0,0,250
E653:E652	qsDay|qsTea.en-y0	0,1	y0	0,0,200|0,0,100
E653:E653	qsDay|qsDay.half.en-y0.ex-y0	0,1	y0	0,0,200|0,0,250
E653:E658	qsDay|qsFee	0,1	break	0,0,250|0,0,300
E653:E665	qsDay|qsMay.en-y0.ex-y5	0,1	y0	0,0,200|0,0,300
E653:E666	qsDay|qsNo.alt.en-y0.ex-y0	0,1	y0	0,0,200|0,0,300
E653:E667	qsDay|qsLow	0,1	y0	0,0,200|0,0,300
E653:E670	qsDay|qsIt.en-y0.ex-y5	0,1	y0	0,0,200|0,0,100
E653:E675	qsDay|qsI	0,1	y0	0,0,200|0,0,300
E653:E676	qsDay|qsAh	0,1	y0	0,0,200|0,0,400
E653:E679	qsDay|qsOy	0,1	break	0,0,250|0,0,450
E653:E67A	qsDay_qsUtter	0	lig	0,0,400
E658:0020	qsFee|space	0,1	break	0,0,300|0,0,350
E658:00B7	qsFee|periodcentered	0,1	break	0,0,300|0,0,150
E658:200C	qsFee|space	0,1	break	0,0,300|0,0,0
E658:E650	qsFee|qsPea	0,1	break	0,0,300|0,0,250
E658:E652	qsFee|qsTea	0,1	break	0,0,300|0,0,100
E658:E653	qsFee.ex-y5.before-utter.ex-ext-1|qsDay	0,1	y5	0,0,300|0,0,250
E658:E658	qsFee|qsFee	0,1	break	0,0,300|0,0,300
E658:E665	qsFee.ex-y5.before-may.ex-ext-3|qsMay.en-y5.after-fee	0,1	y5	0,0,400|-100,0,150
E658:E666	qsFee.ex-y5.before-utter.ex-ext-1|qsNo	0,1	y5	0,0,300|0,0,300
E658:E667	qsFee|qsLow	0,1	break	0,0,300|0,0,300
E658:E670	qsFee.ex-y5.before-utter.ex-ext-1|qsIt.en-y5.ex-y0	0,1	y5	0,0,300|0,0,100
E658:E675	qsFee|qsI	0,1	break	0,0,300|0,0,300
E658:E676	qsFee|qsAh	0,1	break	0,0,300|0,0,400
E658:E679	qsFee.ex-y5|qsOy.en-y5.ex-y0	0,1	y5	0,0,250|0,0,300
E658:E67A	qsFee.ex-y5.before-utter|qsUtter	0,1	break	0,0,300|0,0,300
E665:0020	qsMay|space	0,1	break	0,0,300|0,0,350
E665:00B7	qsMay|periodcentered	0,1	break	0,0,300|0,0,150
E665:200C	qsMay|space	0,1	break	0,0,300|0,0,0
E665:E650	qsMay|qsPea.en-y5.ex-y0	0,1	y5	0,0,250|0,0,250
E665:E652	qsMay|qsTea	0,1	break	0,0,300|0,0,100
E665:E653	qsMay.ex-ext-1|qsDay	0,1	y5	0,0,300|0,0,250
E665:E658	qsMay.ex-ext-1|qsFee.en-y5	0,1	y5	0,0,300|-50,0,250
E665:E665	qsMay.ex-y0|qsMay.en-y0.ex-y5	0,1	y0	0,0,200|0,0,300
E665:E666	qsMay|qsNo	0,1	y5	0,0,250|0,0,300
E665:E667	qsMay.ex-y0|qsLow	0,1	y0	0,0,200|0,0,300
E665:E670	qsMay.ex-ext-1|qsIt.en-y5.ex-y0	0,1	y5	0,0,300|0,0,100
E665:E675	qsMay.ex-y0|qsI	0,1	y0	0,0,200|0,0,300
E665:E676	qsMay.ex-y0|qsAh	0,1	y0	0,0,200|0,0,400
E665:E679	qsMay|qsOy.en-y5.ex-y0	0,1	y5	0,0,250|0,0,300
E665:E67A	qsMay|qsUtter	0,1	break	0,0,300|0,0,300
E666:0020	qsNo|space	0,1	break	0,0,300|0,0,350
E666:00B7	qsNo|periodcentered	0,1	break	0,0,300|0,0,150
E666:200C	qsNo|space	0,1	break	0,0,300|0,0,0
E666:E650	qsNo|qsPea	0,1	break	0,0,300|0,0,250
E666:E652	qsNo|qsTea	0,1	break	0,0,300|0,0,100
E666:E653	qsNo|qsDay	0,1	y5	0,0,250|0,0,250
E666:E658	qsNo.ex-ext-1|qsFee.en-y5	0,1	y5	0,0,300|-50,0,250
E666:E665	qsNo.alt.en-y0.ex-y0|qsMay.en-y0.ex-y5	0,1	y0	0,0,250|0,0,300
E666:E666	qsNo|qsNo	0,1	y5	0,0,250|0,0,300
E666:E667	qsNo.alt.en-y0.ex-y0|qsLow	0,1	y0	0,0,250|0,0,300
E666:E670	qsNo|qsIt.en-y5.ex-y0	0,1	y5	0,0,250|0,0,100
E666:E675	qsNo.alt.en-y0.ex-y0|qsI	0,1	y0	0,0,250|0,0,300
E666:E676	qsNo.alt.en-y0.ex-y0|qsAh	0,1	y0	0,0,250|0,0,400
E666:E679	qsNo|qsOy.en-y5.ex-y0	0,1	y5	0,0,250|0,0,300
E666:E67A	qsNo.alt.en-y0.ex-y0|qsUtter	0,1	y0	0,0,250|0,0,300
E667:0020	qsLow|space	0,1	break	0,0,300|0,0,350
E667:00B7	qsLow|periodcentered	0,1	break	0,0,300|0,0,150
E667:200C	qsLow|space	0,1	break	0,0,300|0,0,0
E667:E650	qsLow|qsPea	0,1	break	0,0,300|0,0,250
E667:E652	qsLow|qsTea	0,1	break	0,0,300|0,0,100
E667:E653	qsLow|qsDay	0,1	y5	0,0,250|0,0,250
E667:E658	qsLow.ex-ext-1|qsFee.en-y5	0,1	y5	0,0,300|-50,0,250
E667:E665	qsLow|qsMay	0,1	break	0,0,250|0,0,300
E667:E666	qsLow|qsNo	0,1	y5	0,0,250|0,0,300
E667:E667	qsLow|qsLow	0,1	break	0,0,250|0,0,300
E667:E670	qsLow|qsIt.en-y5.ex-y0	0,1	y5	0,0,250|0,0,100
E667:E675	qsLow|qsI	0,1	break	0,0,300|0,0,300
E667:E676	qsLow|qsAh	0,1	break	0,0,250|0,0,400
E667:E679	qsLow|qsOy.en-y5.ex-y0	0,1	y5	0,0,250|0,0,300
E667:E67A	qsLow|qsUtter	0,1	break	0,0,250|0,0,300
E670:0020	qsIt|space	0,1	break	0,0,100|0,0,350
E670:00B7	qsIt|periodcentered	0,1	break	0,0,100|0,0,150
E670:200C	qsIt|space	0,1	break	0,0,100|0,0,0
E670:E650	qsIt|qsPea	0,1	break	0,0,100|0,0,250
E670:E652	qsIt|qsTea	0,1	break	0,0,100|0,0,100
E670:E653	qsIt.ex-y0.before-day.after-no-baseline-join|qsDay.half.en-y0.ex-y0	0,1	y0	0,0,50|0,0,250
E670:E658	qsIt|qsFee	0,1	break	0,0,100|0,0,300
E670:E665	qsIt.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	0,1	y0	0,0,50|0,0,350
E670:E666	qsIt.ex-y0|qsNo.alt.en-y0.ex-y0.after-it-and-vie	0,1	y0	0,0,50|0,0,300
E670:E667	qsIt.ex-y0|qsLow	0,1	y0	0,0,50|0,0,300
E670:E670	qsIt.ex-y5|qsIt	0,1	break	0,0,100|0,0,100
E670:E675	qsIt.ex-y0.ex-ext-1|qsI	0,1	y0	0,0,100|0,0,300
E670:E676	qsIt.ex-y0|qsAh	0,1	y0	0,0,50|0,0,400
E670:E679	qsIt|qsOy	0,1	break	0,0,100|0,0,450
E670:E67A	qsIt.ex-y0.before-utter|qsUtter	0,1	y0	0,0,50|0,0,300
E675:0020	qsI|space	0,1	break	0,0,300|0,0,350
E675:00B7	qsI|periodcentered	0,1	break	0,0,300|0,0,150
E675:200C	qsI|space	0,1	break	0,0,300|0,0,0
E675:E650	qsI|qsPea	0,1	break	0,0,300|0,0,250
E675:E652	qsI|qsTea	0,1	break	0,0,300|0,0,100
E675:E653	qsI.ex-ext-1|qsDay	0,1	y5	0,0,300|0,0,250
E675:E658	qsI.ex-ext-1|qsFee.en-y5	0,1	y5	0,0,300|-50,0,250
E675:E665	qsI.ex-ext-1|qsMay.en-y5.after-i	0,1	y5	0,0,300|-150,0,150
E675:E666	qsI.ex-ext-1|qsNo	0,1	y5	0,0,300|0,0,300
E675:E667	qsI|qsLow	0,1	break	0,0,200|0,0,300
E675:E670	qsI.ex-ext-1|qsIt.en-y5.ex-y0	0,1	y5	0,0,300|0,0,100
E675:E675	qsI|qsI	0,1	break	0,0,300|0,0,300
E675:E676	qsI|qsAh	0,1	break	0,0,150|0,0,400
E675:E679	qsI|qsOy.en-y5.ex-y0	0,1	y5	0,0,250|0,0,300
E675:E67A	qsI|qsUtter	0,1	break	0,0,200|0,0,300
E676:0020	qsAh|space	0,1	break	0,0,400|0,0,350
E676:00B7	qsAh|periodcentered	0,1	break	0,0,400|0,0,150
E676:200C	qsAh|space	0,1	break	0,0,400|0,0,0
E676:E650	qsAh|qsPea	0,1	break	0,0,400|0,0,250
E676:E652	qsAh|qsTea	0,1	break	0,0,400|0,0,100
E676:E653	qsAh|qsDay	0,1	y5	0,0,350|0,0,250
E676:E658	qsAh.ex-ext-1|qsFee.en-y5	0,1	y5	0,0,400|-50,0,250
E676:E665	qsAh.ex-ext-1|qsMay.en-y5	0,1	y5	0,0,400|-150,0,150
E676:E666	qsAh|qsNo	0,1	y5	0,0,350|0,0,300
E676:E667	qsAh|qsLow	0,1	break	0,0,300|0,0,300
E676:E670	qsAh|qsIt.en-y5.ex-y0	0,1	y5	0,0,350|0,0,100
