         114589989 function calls (109664438 primitive calls) in 19.147 seconds

   Ordered by: cumulative time
   List reduced from 1391 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  65749/3    0.037    0.000    1.048    0.349 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:704(read)
  58226/3    0.036    0.000    1.048    0.349 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:147(readArray)
184508/1201    0.310    0.000    0.778    0.001 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:480(_doneWriting)
    19410    0.052    0.000    0.739    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:835(parse_substitute_)
        1    0.000    0.000    0.603    0.603 tools/glyph_compiler.py:288(compile_glyph_set)
  1926555    0.459    0.000    0.562    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:878(__getattr__)
        2    0.002    0.001    0.501    0.251 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:184(tryPackingHarfbuzz)
        2    0.031    0.015    0.499    0.250 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:640(getAllDataUsingHarfbuzz)
     2296    0.001    0.000    0.426    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:1186(calcBounds)
     2296    0.001    0.000    0.423    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:1172(draw)
    88515    0.241    0.000    0.416    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otTables.py:970(preWrite)
     2296    0.001    0.000    0.415    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:649(execute)
     2296    0.064    0.000    0.414    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/psCharStrings.py:341(execute)
    81357    0.017    0.000    0.401    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:601(read)
  8985366    0.390    0.000    0.390    0.000 {built-in method builtins.isinstance}
    34028    0.089    0.000    0.386    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:687(newRule_)
  5835792    0.368    0.000    0.368    0.000 {method 'get' of 'dict' objects}
    75307    0.022    0.000    0.337    0.000 .venv/lib/python3.14/site-packages/fontTools/misc/textTools.py:149(bytesjoin)
    56242    0.064    0.000    0.332    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:425(getData)
  5392095    0.322    0.000    0.322    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.315    0.315 tools/quikscript_join_analysis.py:294(warn_join_contract_issues)


         114589989 function calls (109664438 primitive calls) in 19.147 seconds

   Ordered by: internal time
   List reduced from 1391 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18300    2.770    0.000    4.830    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:824(find_chainable_subst)
392691/1201    1.720    0.000    4.580    0.004 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:1000(compile)
 30536764    1.570    0.000    1.570    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:831(<genexpr>)
   716641    1.043    0.000    1.189    0.000 {built-in method builtins.next}
