         6692557 function calls (6648274 primitive calls) in 3.619 seconds

   Ordered by: cumulative time
   List reduced from 358 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1689    0.046    0.000    0.109    0.000 tools/quikscript_ir.py:1551(_glyph_def_to_join_glyph)
     2853    0.043    0.000    0.049    0.000 tools/quikscript_join_analysis.py:385(_right_family_displaces_via_noentry)
     3603    0.041    0.000    0.115    0.000 tools/quikscript_join_analysis.py:1581(_reachable_right_variants)
    14070    0.041    0.000    0.139    0.000 tools/quikscript_ir.py:1758(expand)
    15165    0.041    0.000    0.068    0.000 tools/quikscript_join_analysis.py:1034(_bitmap_row_at_y)
    48507    0.041    0.000    0.047    0.000 tools/quikscript_ir.py:120(all_entry_ys)
      342    0.038    0.000    0.173    0.001 tools/quikscript_join_analysis.py:1134(_check_concrete_after_selectors)
   216828    0.036    0.000    0.095    0.000 tools/quikscript_fea.py:1499(_resolve_noentry_replacement)
   187359    0.032    0.000    0.032    0.000 tools/quikscript_join_analysis.py:745(_is_source_authored_join_candidate)
     4284    0.031    0.000    0.105    0.000 tools/quikscript_fea.py:1566(_expand_backward_after_variants)
    24978    0.028    0.000    0.040    0.000 tools/quikscript_join_analysis.py:894(_ligature_component_propagates_context)
   118665    0.028    0.000    0.028    0.000 tools/quikscript_fea.py:1467(_has_left_entry)


