import time: self [us] | cumulative | imported package
import time:        62 |         62 |                     fontTools.pens
import time:       173 |        173 |                       fontTools.pens.basePen
import time:        46 |         46 |                         fontTools.misc.enumTools
import time:       386 |        432 |                       fontTools.pens.pointPen
import time:       120 |        120 |                       fontTools.pens.recordingPen
import time:       172 |        895 |                     fontTools.pens.filterPen
import time:       136 |       1092 |                   fontTools.pens.transformPen
import time:       230 |       1822 |                 fontTools.ttLib.ttGlyphSet
import time:       494 |       2706 |               fontTools.ttLib.ttFont
import time:        86 |         86 |               fontTools.ttLib.ttCollection
import time:       103 |       3681 |             fontTools.ttLib
import time:        66 |         66 |               fontTools.ttLib.tables
import time:        65 |         65 |               fontTools.ttLib.tables.DefaultTable
import time:       180 |        309 |             fontTools.ttLib.tables._f_v_a_r
import time:        85 |         85 |               fontTools.misc.arrayTools
import time:       687 |        687 |               fontTools.misc.bezierTools
import time:       500 |        500 |               fontTools.ttLib.tables.ttProgram
import time:        77 |         77 |               fontTools.misc.filenames
import time:       366 |       1712 |             fontTools.ttLib.tables._g_l_y_f
import time:       143 |        143 |             fontTools.ttLib.tables.TupleVariation
import time:        83 |         83 |                     uharfbuzz._version
import time:      3923 |       3923 |                     uharfbuzz._harfbuzz
import time:       124 |       4129 |                   uharfbuzz
import time:       415 |       4544 |                 fontTools.ttLib.tables.otBase
import time:       136 |       4679 |               fontTools.ttLib.tables.otTraverse
import time:       120 |        120 |               fontTools.pens.boundsPen
import time:       422 |        422 |               fontTools.ttLib.tables.otData
import time:       103 |        103 |                 fontTools.misc.lazyTools
import time:       804 |        907 |               fontTools.ttLib.tables.otConverters
import time:      5219 |      11344 |             fontTools.ttLib.tables.otTables
import time:       159 |        159 |             fontTools.varLib.builder
import time:       228 |        228 |               fontTools.varLib.errors
import time:       135 |        363 |             fontTools.varLib.models
import time:        56 |         56 |               fontTools.misc.intTools
import time:       294 |        350 |             fontTools.varLib.varStore
import time:        56 |         56 |                 fontTools.colorLib
import time:        49 |         49 |                 fontTools.misc.treeTools
import time:        83 |         83 |                 fontTools.ttLib.tables.C_O_L_R_
import time:       151 |        151 |                 fontTools.ttLib.tables.C_P_A_L_
import time:        52 |         52 |                       fontTools.encodings
import time:       107 |        159 |                     fontTools.encodings.codecs
import time:        59 |        217 |                   fontTools.misc.encodingTools
import time:        75 |         75 |                     fontTools.misc.visitor
import time:        67 |        141 |                   fontTools.ttLib.ttVisitor
import time:       345 |        702 |                 fontTools.ttLib.tables._n_a_m_e
import time:        63 |         63 |                 fontTools.colorLib.errors
import time:        75 |         75 |                 fontTools.colorLib.geometry
import time:       142 |        142 |                 fontTools.colorLib.table_builder
import time:       366 |       1682 |               fontTools.colorLib.builder
import time:        74 |         74 |               fontTools.misc.classifyTools
import time:        54 |         54 |                 fontTools.otlLib
import time:       638 |        638 |                 fontTools.feaLib.ast
import time:       148 |        148 |                       gettext
import time:       767 |        915 |                     argparse
import time:       428 |        428 |                     fontTools.otlLib.optimize.gpos
import time:        82 |       1424 |                   fontTools.otlLib.optimize
import time:         9 |       1433 |                 fontTools.otlLib.optimize.gpos
import time:        65 |         65 |                 fontTools.otlLib.error
import time:       676 |       2863 |               fontTools.otlLib.builder
import time:       312 |       4929 |             fontTools.varLib.merger
import time:        65 |         65 |             fontTools.varLib.mvar
import time:       654 |        654 |             fontTools.varLib.iup
import time:        75 |         75 |               fontTools.misc.dictTools
import time:       135 |        209 |             fontTools.varLib.featureVars
import time:        43 |         43 |                   lxml
import time:         9 |         52 |                 lxml.etree
import time:        70 |         70 |                     xml
import time:        84 |        153 |                   xml.etree
import time:       209 |        209 |                     xml.etree.ElementPath
import time:       583 |        583 |                       pyexpat
import time:       553 |       1136 |                     _elementtree
import time:      1616 |       2960 |                   xml.etree.ElementTree
import time:        79 |       3191 |                 xml.etree.cElementTree
import time:       328 |       3570 |               fontTools.misc.etree
import time:       286 |        286 |               fontTools.misc.plistlib
import time:       473 |       4328 |             fontTools.designspaceLib
import time:       313 |        313 |               fontTools.designspaceLib.statNames
import time:       275 |        275 |               fontTools.designspaceLib.types
import time:       157 |        743 |             fontTools.designspaceLib.split
import time:        78 |         78 |             fontTools.varLib.stat
import time:        67 |         67 |             fontTools.colorLib.unbuilder
import time:       153 |        153 |             pprint
import time:       446 |      30012 |           fontTools.varLib
import time:         9 |      30020 |         fontTools.varLib.models
import time:       100 |      30119 |       fontTools.feaLib.variableScalar
import time:       451 |      31815 |     fontTools.feaLib.parser
import time:        66 |         66 |     fontTools.otlLib.maxContextCalc
import time:       329 |      34722 |   fontTools.feaLib.builder
import time:        66 |         66 |       fontTools.unicode
import time:       246 |        311 |     fontTools.ttLib.tables._c_m_a_p
import time:       491 |        491 |         _bisect
import time:        75 |        565 |       bisect
import time:       151 |        716 |     fontTools.ttLib.tables.O_S_2f_2
import time:       433 |        433 |       calendar
import time:        68 |        500 |     fontTools.misc.timeTools
import time:       181 |       1708 |   fontTools.fontBuilder
import time:       329 |        329 |         fontTools.misc.psCharStrings
import time:       837 |       1166 |       fontTools.cffLib
import time:       167 |       1332 |     fontTools.cffLib.specializer
import time:       103 |       1435 |   fontTools.pens.t2CharStringPen
import time:        83 |         83 |   departure_mono_import
import time:      3060 |       3060 |     quikscript_ir
import time:      2130 |       2130 |       quikscript_fea
import time:      1379 |       3509 |     quikscript_join_analysis
import time:       289 |       6856 |   glyph_compiler
import time:       448 |      72868 | build_font
